DATE,M2,Open,High,Low,Close,Adj_Close,Volume_in_mln
2008-09-22,7873.9,1255.37,1255.37,1205.61,1207.09,1207.09,5368.13
2008-09-29,7860.8,1209.07,1209.07,1106.42,1106.42,1106.42,7305.06
2008-10-06,7891.1,1097.56,1097.56,1007.97,1056.89,1056.89,7956.02
2008-10-13,7937.6,912.75,1006.93,912.75,1003.35,1003.35,7263.37
2008-10-20,7970.5,943.51,985.4,943.51,985.4,985.4,5175.64
2008-10-27,7892.9,874.28,893.78,846.75,848.92,848.92,5558.05
2008-11-03,7939.3,968.67,975.57,958.82,966.3,966.3,4492.28
2008-11-10,7976.4,936.75,951.95,907.47,919.21,919.21,4572.0
2008-11-17,8014.3,873.23,882.29,848.98,850.75,850.75,4927.49
2008-11-24,8003.8,801.2,865.6,801.2,851.81,851.81,7879.44
2008-12-01,8090.7,888.61,888.61,815.69,816.21,816.21,6052.01
2008-12-08,8175.5,882.71,918.57,882.71,909.7,909.7,6553.6
2008-12-15,8225.8,881.07,884.63,857.72,868.57,868.57,4982.39
2008-12-22,8248.6,887.2,887.37,857.09,871.63,871.63,4869.85
2008-12-29,8264.1,872.37,873.7,857.07,869.42,869.42,3323.43
2009-01-05,8332.0,929.17,936.63,919.53,927.45,927.45,5413.91
2009-01-12,8293.7,890.4,890.4,864.32,870.26,870.26,4725.05
2009-01-19,8281.7,849.64,849.64,804.47,805.22,805.22,6375.23
2009-01-26,8233.6,832.5,852.53,827.69,836.57,836.57,6039.94
2009-02-02,8251.9,823.09,830.78,812.87,825.44,825.44,5673.27
2009-02-09,8290.7,868.24,875.01,861.65,869.89,869.89,5574.37
2009-02-16,8312.5,818.61,818.61,789.17,789.17,789.17,5907.82
2009-02-23,8292.4,773.25,777.85,742.37,743.33,743.33,6509.3
2009-03-02,8357.4,729.57,729.57,699.7,700.82,700.82,7868.29
2009-03-09,8440.5,680.76,695.27,672.88,676.53,676.53,7277.32
2009-03-16,8489.9,758.84,774.53,753.37,753.89,753.89,7883.54
2009-03-23,8439.2,772.31,823.37,772.31,822.92,822.92,7715.77
2009-03-30,8409.5,809.07,809.07,779.81,787.53,787.53,5912.66
2009-04-06,8475.1,839.75,839.75,822.79,835.48,835.48,6210.0
2009-04-13,8495.7,855.33,864.31,845.35,858.73,858.73,6434.89
2009-04-20,8467.0,868.27,868.27,832.39,832.39,832.39,6973.96
2009-04-27,8361.1,862.82,868.83,854.65,857.51,857.51,5613.46
2009-05-04,8412.3,879.21,907.85,879.21,907.24,907.24,7038.84
2009-05-11,8431.3,922.99,922.99,908.68,909.24,909.24,6150.6
2009-05-18,8440.0,886.07,910.0,886.07,909.71,909.71,5702.15
2009-05-25,8405.6,887.0,911.76,881.46,910.33,910.33,5667.05
2009-06-01,8433.7,923.26,947.77,923.26,942.87,942.87,6370.44
2009-06-08,8492.3,938.12,946.33,926.44,939.14,939.14,4483.43
2009-06-15,8488.2,942.45,942.45,919.65,923.72,923.72,4697.88
2009-06-22,8416.6,918.13,918.13,893.04,893.04,893.04,4903.94
